Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Datetime,,,,,
2026-02-13 14:30:00+00:00,166.86000061035156,167.73440551757812,166.3968963623047,167.38999938964844,464218
2026-02-13 14:35:00+00:00,166.5500030517578,167.1999969482422,166.13999938964844,167.1300048828125,157751
2026-02-13 14:40:00+00:00,165.4199981689453,166.7899932861328,165.35000610351562,166.60499572753906,221499
2026-02-13 14:45:00+00:00,165.1300048828125,165.6999969482422,164.9949951171875,165.4199981689453,162254
2026-02-13 14:50:00+00:00,165.8300018310547,166.2100067138672,165.16000366210938,165.16000366210938,169446
2026-02-13 14:55:00+00:00,165.97000122070312,166.00999450683594,165.1699981689453,165.8300018310547,128862
2026-02-13 15:00:00+00:00,165.86000061035156,166.38999938964844,165.69000244140625,165.97000122070312,87432
2026-02-13 15:05:00+00:00,166.0,166.10000610351562,165.77000427246094,165.8699951171875,50167
2026-02-13 15:10:00+00:00,165.83999633789062,165.91000366210938,165.5,165.89999389648438,59165
2026-02-13 15:15:00+00:00,165.5,165.86500549316406,165.2550048828125,165.8300018310547,75588
2026-02-13 15:20:00+00:00,165.625,165.6750030517578,165.24000549316406,165.5399932861328,35783
2026-02-13 15:25:00+00:00,165.83999633789062,165.83999633789062,165.49000549316406,165.625,45312
2026-02-13 15:30:00+00:00,165.97000122070312,165.97000122070312,165.63999938964844,165.82000732421875,62713
2026-02-13 15:35:00+00:00,166.34500122070312,166.3699951171875,165.8699951171875,165.9550018310547,58844
2026-02-13 15:40:00+00:00,166.6699981689453,166.74000549316406,166.33999633789062,166.35000610351562,80665
2026-02-13 15:45:00+00:00,166.756103515625,166.7899932861328,166.50999450683594,166.6300048828125,93136
2026-02-13 15:50:00+00:00,166.30499267578125,166.72999572753906,166.16000366210938,166.72500610351562,79574
2026-02-13 15:55:00+00:00,166.2449951171875,166.47000122070312,166.2100067138672,166.30499267578125,71920
2026-02-13 16:00:00+00:00,166.1699981689453,166.33999633789062,166.00999450683594,166.2449951171875,114005
2026-02-13 16:05:00+00:00,166.72999572753906,166.80999755859375,166.11000061035156,166.19000244140625,83487
2026-02-13 16:10:00+00:00,166.83999633789062,167.0,166.69000244140625,166.75,117520
2026-02-13 16:15:00+00:00,167.22000122070312,167.2794952392578,166.86500549316406,166.86500549316406,41001
2026-02-13 16:20:00+00:00,167.1750030517578,167.3000030517578,167.10000610351562,167.22000122070312,31676
2026-02-13 16:25:00+00:00,167.38499450683594,167.50999450683594,167.11000061035156,167.17999267578125,46975
2026-02-13 16:30:00+00:00,167.33999633789062,167.58999633789062,167.25,167.3800048828125,44594
2026-02-13 16:35:00+00:00,166.97999572753906,167.360107421875,166.88999938964844,167.32000732421875,27724
2026-02-13 16:40:00+00:00,166.9949951171875,167.25999450683594,166.97000122070312,166.97000122070312,31695
2026-02-13 16:45:00+00:00,167.11000061035156,167.33999633789062,166.99000549316406,167.0,45599
2026-02-13 16:50:00+00:00,167.11000061035156,167.17999267578125,166.97999572753906,167.14500427246094,20581
2026-02-13 16:55:00+00:00,167.25,167.25,166.9600067138672,167.1300048828125,30138
2026-02-13 17:00:00+00:00,167.1300048828125,167.22999572753906,167.02000427246094,167.22000122070312,26444
2026-02-13 17:05:00+00:00,167.1699981689453,167.3000030517578,167.10000610351562,167.1300048828125,36974
2026-02-13 17:10:00+00:00,167.22999572753906,167.27000427246094,167.11000061035156,167.1649932861328,18266
2026-02-13 17:15:00+00:00,166.9801025390625,167.21499633789062,166.97999572753906,167.21499633789062,18093
2026-02-13 17:20:00+00:00,167.13999938964844,167.24000549316406,167.0,167.0,26677
2026-02-13 17:25:00+00:00,167.2100067138672,167.26499938964844,167.0800018310547,167.0800018310547,16138
2026-02-13 17:30:00+00:00,167.30999755859375,167.3800048828125,167.2100067138672,167.2550048828125,35097
2026-02-13 17:35:00+00:00,167.35000610351562,167.52000427246094,167.2899932861328,167.3249969482422,18271
2026-02-13 17:40:00+00:00,167.5800018310547,167.66510009765625,167.39999389648438,167.39999389648438,35439
2026-02-13 17:45:00+00:00,167.74000549316406,167.8800048828125,167.57000732421875,167.61000061035156,34769
2026-02-13 17:50:00+00:00,167.5,167.7899932861328,167.4600067138672,167.70010375976562,20592
2026-02-13 17:55:00+00:00,167.5399932861328,167.61000061035156,167.22999572753906,167.47999572753906,37426
